First Name,Last Name,Company,Email,Phone,Lead Source,Lead Status,Industry,Created Date
Daniel,Roberts,Martinez-Allen,rodriguezrebecca@hotmail.com,+1-089-324-6095,Referral,Converted,Software,2024-10-19
Ashley,Lopez,"Miller, Villegas and Jones",cmarks@hughes.com,531-952-0585,Web,Lost,Software,2025-05-29
Dawn,Greer,"Marshall, Dominguez and Welch",baldwinsherry@carter.com,5486874034,Social Media,Contacted,Finance,2024-12-03
Michelle,Williams,"Rivera, Martinez and Richardson",ykline@yahoo.com,(775)841-6169,Ads,Lost,Education,2025-06-02
Henry,Carter,Miller Ltd,sean62@hotmail.com,570.596.4016x582,Referral,Qualified,Education,2024-07-30
Douglas,Lawson,Johnson-Jones,patrick90@hotmail.com,(755)719-2856,Social Media,Lost,Finance,2024-11-17
Debra,Wright,Johnson and Sons,hmcintyre@yahoo.com,001-473-947-3121x72715,Social Media,Contacted,Manufacturing,2025-04-03
Michael,Brown,"Roberts, Evans and Moore",william13@young.com,(895)782-9114x678,Email,Lost,Manufacturing,2024-12-24
Kayla,Morrow,Martinez LLC,howens@anderson-calderon.net,+1-922-680-1824x2253,Ads,Qualified,Healthcare,2024-11-29
Stacey,Stone,Singleton-King,colleenmendez@gmail.com,299.229.9590x01094,Social Media,Lost,Software,2025-03-27
Jason,Armstrong,"Fowler, Jimenez and Burton",timothy64@yahoo.com,027-677-3592,Referral,Contacted,Software,2024-11-16
Michelle,Flores,Hester-Anderson,floressteven@yahoo.com,321.046.9632x595,Email,New,Education,2024-09-29
Kathryn,Jimenez,"Owens, Koch and Jimenez",pwagner@aguilar.com,797-480-1624x5650,Social Media,Contacted,Education,2024-12-20
Brett,Hoffman,Tran-Jones,marcia99@gmail.com,(165)585-2398,Referral,New,Software,2024-12-20
Vincent,Williams,Reeves Group,catherinerobertson@yahoo.com,+1-526-949-5888x794,Ads,New,Finance,2025-01-18
Lisa,Richardson,"Rodriguez, Butler and Parker",pbaker@lane.com,962.309.1307x56263,Web,New,Retail,2024-12-24
Warren,Carr,Salas-Fitzgerald,aprilhoffman@mendoza.info,+1-585-497-3348,Web,Converted,Finance,2024-11-10
Jeffrey,Dudley,Wise-Bush,timothy84@yahoo.com,986-652-4041,Email,Lost,Finance,2024-11-29
Sandra,Douglas,"Mendoza, Harris and Ryan",danielyang@gmail.com,083.301.6571,Social Media,Contacted,Manufacturing,2025-04-08
Kelli,Smith,"Spence, Moore and Delgado",wsantos@yahoo.com,401-938-0262x06724,Social Media,Converted,Healthcare,2025-06-23
Benjamin,Evans,"Rodriguez, Bird and Mitchell",melissamcdonald@gmail.com,527-420-5493,Referral,Lost,Healthcare,2024-09-24
Cheryl,Fowler,Wilcox-Robertson,lcaldwell@woods.com,637-454-9904x530,Referral,New,Software,2025-04-03
David,Parker,Parks-Leblanc,fowlershelia@yahoo.com,+1-332-727-9568x783,Ads,Lost,Retail,2025-05-09
John,Fischer,Fox PLC,starkdaniel@hotmail.com,398.225.8713x97187,Phone Inquiry,Lost,Healthcare,2025-05-28
Brian,Anderson,Bryant-Brown,jennifer64@gmail.com,001-391-065-1801x7046,Ads,New,Manufacturing,2024-09-25
Kayla,Cannon,"Brewer, Fisher and Haney",ykane@yahoo.com,825-128-6823,Ads,New,Software,2025-06-07
Adam,Johnson,Ford-Ball,pmorrow@yahoo.com,(243)106-9033x119,Phone Inquiry,Qualified,Software,2024-07-31
Sean,Powers,Sanchez Inc,nyoung@gmail.com,(843)959-9534,Referral,Contacted,Finance,2025-06-23
Douglas,Keller,Gutierrez LLC,conniesimmons@williams-cooper.biz,566.246.2873x34270,Social Media,Lost,Finance,2025-02-21
Robert,Butler,"Anderson, Sanchez and Harris",fboone@hardy.org,+1-013-983-7354x033,Phone Inquiry,Contacted,Retail,2025-05-01
David,Key,Rocha-Dominguez,jherman@rowe-james.net,+1-544-587-7175x3556,Phone Inquiry,Contacted,Software,2024-08-04
Anna,Walker,Smith PLC,elijah53@yahoo.com,001-378-547-7725,Phone Inquiry,Converted,Software,2024-09-21
Donald,Payne,Stark PLC,combscharles@williams.com,203-875-0997,Web,Converted,Software,2025-03-31
Tony,Smith,"Jenkins, Smith and Bowen",shawheidi@yahoo.com,(118)233-9845,Web,Contacted,Finance,2024-10-29
Laura,Miller,Stevens-Sanchez,gabriella10@sullivan.net,002.176.5918x0339,Phone Inquiry,Lost,Healthcare,2025-01-18
Joseph,Glass,"Frost, Lam and Elliott",sarahedwards@matthews.biz,429-396-8562,Referral,Lost,Software,2025-05-20
Vanessa,Ramsey,"Mcgee, Reed and Davis",petersonkayla@sanders.com,735.866.2961x943,Referral,Lost,Software,2025-04-20
Charles,Adams,Dawson-Walters,michael10@yahoo.com,541.212.6788x861,Phone Inquiry,Qualified,Healthcare,2024-07-28
Christopher,Spencer,"George, Nguyen and Cruz",fhughes@hotmail.com,+1-398-262-2444,Email,Lost,Manufacturing,2025-01-25
Dustin,Jackson,Fisher-Washington,johnathan37@jensen.com,(596)575-6924x5937,Ads,Converted,Manufacturing,2024-11-17
Gregory,Sanders,Carter-Neal,markramirez@yahoo.com,(193)982-8073x741,Ads,Lost,Finance,2025-06-01
Melanie,Pope,"Porter, Schultz and Allen",emccormick@ewing-mendoza.biz,+1-868-058-9113,Referral,Qualified,Finance,2025-03-30
Elizabeth,Jackson,"Williams, Terrell and Byrd",tammy61@gmail.com,438-889-9375,Web,Converted,Manufacturing,2024-12-16
Steven,Frazier,"Mason, Cooper and Johnson",robert11@thomas.com,757.177.5140x10512,Social Media,New,Manufacturing,2025-07-14
Tonya,Sanchez,Arnold LLC,zhall@hotmail.com,(266)093-7966,Email,New,Software,2024-07-19
Janet,Harris,"Stokes, Brown and Garcia",mark71@lambert-burns.com,+1-696-915-5792x499,Social Media,Lost,Education,2024-08-19
Emily,Edwards,Torres and Sons,williambarnes@gmail.com,001-662-782-8274,Social Media,Contacted,Software,2024-09-10
Jacob,Wilkinson,"Brown, Howard and Smith",lisamaynard@delgado.info,219.034.0438x4279,Social Media,New,Finance,2025-05-02
Kendra,Simpson,"Wilson, Wilson and Hampton",wolfscott@gmail.com,(134)074-5171x33959,Web,Converted,Software,2025-03-20
Ronnie,Jensen,Li Inc,candice25@hotmail.com,494-812-6042x2325,Ads,Contacted,Healthcare,2025-06-04
John,Bridges,Burns-Ray,ebrooks@hotmail.com,001-168-457-7590x17518,Web,Converted,Finance,2024-12-19
Jeffery,Jordan,Simpson LLC,amy29@yahoo.com,001-701-2770x63242,Social Media,Converted,Software,2025-06-22
Sarah,Hill,"Ward, Miller and Beck",sanderskevin@fischer.com,3712938700,Social Media,New,Healthcare,2025-04-14
Matthew,Martinez,Benson-Woods,zdavis@garcia.com,(622)189-0927,Ads,Converted,Education,2024-12-01
Jennifer,Fuller,Gillespie PLC,christophergarcia@gmail.com,001-656-523-4138,Social Media,Qualified,Retail,2025-03-08
Carol,Lawson,"Johnson, Boone and Liu",juliephillips@bowers.info,(137)918-0552x6965,Referral,Qualified,Finance,2025-02-15
Felicia,Farmer,Smith Inc,jason06@mitchell.biz,001-618-892-4141x832,Email,Lost,Finance,2025-02-11
Mark,Willis,"Becker, Jones and Hale",sanchezsandy@chavez.com,210-202-7588x4252,Ads,Qualified,Healthcare,2025-05-05
Kimberly,Adams,Wise Inc,enelson@yahoo.com,001-917-785-0792x524,Email,New,Software,2025-05-14
Dakota,Berry,"Wilson, Yang and Smith",brandoncox@white.net,001-635-365-4195x180,Phone Inquiry,Converted,Education,2024-09-25
Jeffrey,Black,Finley Inc,kiara45@gmail.com,+1-705-349-4937,Web,New,Education,2024-12-08
Brittany,Snyder,Oconnor PLC,adamortiz@weaver.com,064-138-3670x24103,Referral,Converted,Retail,2025-07-01
Megan,Gutierrez,Ellis-Adkins,danafoster@bradley.com,456-557-4313x2912,Referral,Qualified,Software,2024-08-28
Frank,Owens,Martinez-Howard,qparker@davis.com,001-903-521-3568x044,Referral,Qualified,Retail,2025-06-01
Vicki,Johnson,Bond-Hawkins,murraylinda@martinez.com,(365)199-4101,Referral,Lost,Education,2024-10-02
Rachel,Ramos,Davis LLC,dunlapbrent@hamilton.biz,+1-625-324-4720x99934,Ads,Qualified,Education,2025-01-27
Robert,Pierce,Miller Group,zgonzalez@wright.com,(578)759-8564x2059,Ads,Converted,Software,2024-10-11
Anthony,Cochran,Brown-Frey,terrigarcia@hotmail.com,480.396.5223,Ads,Converted,Retail,2025-03-05
Louis,Rojas,Sloan-Johnson,annalopez@yahoo.com,+1-427-010-3930,Ads,New,Finance,2025-02-07
Timothy,Rivera,"Harris, Anderson and Love",johnsonbrenda@gmail.com,001-185-156-9154x52267,Email,New,Software,2025-03-27
Logan,Mann,"Steele, Mcfarland and Buchanan",nicholasgross@anderson-daniel.org,(902)959-3917x2513,Ads,Converted,Finance,2024-11-29
Toni,Jackson,Underwood Ltd,nsmith@gmail.com,001-154-100-6762x676,Email,Qualified,Education,2024-12-01
Amy,Garcia,Kramer-Lane,shannonlloyd@phillips.com,152-621-8159,Referral,Qualified,Finance,2025-03-13
Patricia,Bush,Dunlap-Martin,brianrivera@gmail.com,(884)443-1069x87205,Ads,Qualified,Education,2024-07-19
Ronald,Phillips,"Weber, Castillo and Davis",daniellerowland@anthony-parker.biz,741.862.5652x7047,Phone Inquiry,Qualified,Software,2025-01-14
Jose,Hood,"Brown, Goodwin and Contreras",lindsey69@spencer.net,(879)374-1608x98992,Web,Lost,Retail,2024-09-02
Stacy,Cole,Stanton and Sons,hendersonvanessa@harris-carson.com,+1-451-168-6854x870,Web,New,Retail,2025-05-19
Isabella,Matthews,Rodriguez-Hernandez,hartcraig@dillon-beard.biz,679-970-2462x996,Referral,Qualified,Finance,2024-08-02
Randy,Koch,"Young, Reese and Mccall",morganlaura@yahoo.com,713-247-5469x137,Ads,Lost,Education,2024-10-08
Robin,Russell,Malone-Camacho,cameronmckinney@taylor-york.org,2330307053,Ads,Lost,Education,2024-11-01
Micheal,Marshall,Reid-Martinez,nathanwheeler@horne.org,+1-552-414-0602,Web,New,Software,2025-06-14
Ashley,Hanna,Holland Ltd,denise80@smith.org,3494466574,Ads,Contacted,Education,2024-10-10
Steven,Byrd,"Sanders, Garcia and Hunt",kenneth17@gmail.com,454-443-2830x96520,Web,Qualified,Education,2025-03-29
Tyler,Phillips,Sullivan-Doyle,jessica38@glover.net,282-417-2482x5135,Social Media,Contacted,Healthcare,2024-10-12
Julie,Parker,Watson-Richards,ruizmichelle@hotmail.com,001-917-381-6846,Referral,New,Retail,2024-08-07
Monica,Hernandez,Cooper PLC,lesliebaldwin@gmail.com,525.007.4329x2712,Email,New,Retail,2025-03-13
Ryan,Jordan,Sanford-Reyes,jessicadodson@sherman-schmidt.com,+1-033-542-1689x42104,Referral,Contacted,Manufacturing,2024-11-07
Stephen,Meyer,"Morgan, Barron and Cowan",mhoward@gmail.com,(033)230-9821x5064,Web,Qualified,Education,2025-05-13
Amanda,Williams,Stanley Ltd,norrisrobert@martinez-king.com,046.184.9926,Phone Inquiry,Converted,Manufacturing,2025-06-05
Rachel,Hunt,"Wilson, Wilson and Rodriguez",kimberlydecker@howard.com,(087)375-3001,Referral,Contacted,Finance,2025-07-05
Daniel,Andrews,Hernandez-Davis,conwaydawn@hinton-phillips.info,1204556110,Referral,Lost,Software,2024-07-21
Melissa,Alvarado,Murphy Group,watsonmatthew@gmail.com,(674)676-2120x2169,Referral,Qualified,Healthcare,2025-01-21
Leah,Gregory,Carr LLC,timothyfreeman@alexander-brown.com,8993588916,Ads,Contacted,Retail,2025-03-31
Jessica,Olson,"Rhodes, Cruz and Combs",schneidereric@christian-booth.com,001-753-540-8386x63177,Referral,New,Healthcare,2025-05-25
Ashley,Miller,West-Wilson,garciarobert@hotmail.com,+1-019-948-8375,Web,Lost,Finance,2024-12-06
Marcia,Velasquez,Rivera-Saunders,jennifer11@hotmail.com,055.488.5102,Referral,Lost,Retail,2025-01-25
Donald,Love,"Ortiz, King and Gonzalez",ylewis@love.biz,9177982708,Email,Contacted,Finance,2025-04-29
Brandon,Mcconnell,"Webb, Romero and Morse",jessicaanderson@sandoval-obrien.com,669.346.5472x26984,Web,Contacted,Healthcare,2025-06-10
Jacqueline,Valencia,"Doyle, Spencer and Robinson",glenda22@daniels.com,+1-799-684-6081,Email,Qualified,Software,2024-07-27
Oscar,Brown,Gonzalez and Sons,dwayne04@gmail.com,001-805-719-8386x38406,Email,Qualified,Manufacturing,2024-12-15
Robert,French,"Edwards, Arnold and Smith",christinenorman@yahoo.com,598.933.4721,Social Media,Lost,Manufacturing,2024-09-28
Sydney,Moss,Bennett Group,david94@gmail.com,720-259-0947x98515,Social Media,Qualified,Software,2025-02-07
Jeffrey,White,Hartman and Sons,odavis@gmail.com,+1-555-439-8780x15739,Web,Qualified,Finance,2025-07-09
Christine,Haley,"Blackwell, James and Hogan",uscott@johnson-black.com,877.043.5811x28801,Social Media,Qualified,Software,2024-10-07
Ellen,Ayala,"Coleman, Garcia and Medina",burgesseric@yahoo.com,001-501-102-4819x346,Web,Converted,Healthcare,2024-12-15
Shannon,Sullivan,Smith-Nunez,avilabrenda@charles.com,+1-491-476-6072x83268,Email,Qualified,Healthcare,2024-11-09
Susan,Thomas,"Eaton, Sanford and Camacho",spencerangela@gmail.com,0996881435,Social Media,Converted,Software,2024-10-08
Robert,Brewer,"Thomas, White and Jensen",dannylambert@hotmail.com,8781414139,Phone Inquiry,Converted,Finance,2025-01-23
Stephanie,Howard,"Rios, Garcia and Harvey",todd59@torres.com,620-533-6452x57775,Email,New,Manufacturing,2025-05-14
Kevin,Arnold,Brewer Inc,patriciagonzalez@hotmail.com,+1-110-809-9693x0848,Phone Inquiry,New,Education,2025-06-30
Yolanda,Kennedy,Diaz and Sons,stevendixon@yahoo.com,(803)928-2722x992,Social Media,Contacted,Retail,2025-04-29
Jessica,Crosby,Robinson Group,bakerjim@clark.info,005.184.4989x266,Phone Inquiry,New,Manufacturing,2024-12-06
Briana,Villanueva,Black Group,wgomez@sparks-eaton.com,272.318.4322x25913,Email,Converted,Retail,2024-12-26
Lisa,Cortez,Leonard-Mendoza,cjohnson@berry.com,+1-809-202-4286x9904,Ads,New,Manufacturing,2024-08-20
Jay,Obrien,Dillon-Jackson,laurahoover@gmail.com,+1-842-579-9136x621,Email,Converted,Retail,2024-07-24
James,Heath,"Cohen, Serrano and Jacobs",mvalenzuela@rich.net,001-117-298-0686x50863,Ads,Lost,Retail,2025-07-17
Leah,Clarke,Bell-Ballard,eanderson@kent.com,+1-864-300-9818x063,Phone Inquiry,Qualified,Education,2025-04-11
Linda,Ortiz,Moore Ltd,melissa69@yahoo.com,+1-463-688-7258x874,Referral,Contacted,Healthcare,2024-11-14
Becky,Schroeder,Fitzgerald-Wyatt,seanlyons@garcia.biz,890-260-1279x61143,Ads,Lost,Manufacturing,2024-12-09
Christopher,Johnson,Arias-Morales,bautistalori@hotmail.com,703.843.0988x3920,Ads,Contacted,Education,2024-12-04
John,Smith,Miller LLC,elizabeth69@gmail.com,011.848.9554x39376,Social Media,Qualified,Healthcare,2025-02-26
Adam,Thompson,"Rodriguez, Jones and Phillips",nancy94@ramos.com,001-577-907-1416x33565,Social Media,New,Retail,2025-02-03
Amanda,Haynes,Wright-Davis,spencergregory@yahoo.com,(394)237-3334x333,Email,Contacted,Healthcare,2025-06-07
John,Montgomery,Maxwell Inc,waustin@rubio.com,947.284.6392x0867,Social Media,Converted,Manufacturing,2025-07-17
Amber,Shaw,Dalton-Parsons,wolfesteve@hotmail.com,0369155942,Email,Lost,Healthcare,2025-02-16
Jose,Adams,"Cooper, White and Coleman",michael64@yahoo.com,(929)314-3866,Phone Inquiry,Contacted,Education,2024-10-02
Dustin,Haley,Kennedy Inc,oporter@ferguson.com,+1-906-120-3471,Phone Inquiry,Contacted,Manufacturing,2025-01-08
Julie,Green,Castro-Frederick,andrew15@hotmail.com,+1-399-824-5587x716,Web,Qualified,Education,2025-03-13
Justin,Welch,Oneill Ltd,kwelch@yahoo.com,125-355-4496,Ads,Converted,Retail,2024-10-31
Pam,Norman,Adkins-Meyer,bjackson@gmail.com,001-341-326-1117x8006,Web,Contacted,Manufacturing,2025-02-06
Kathy,Miller,Montgomery-Miller,jerome47@hotmail.com,(282)005-5778,Email,Contacted,Finance,2025-07-16
Joseph,Wallace,"Ryan, Garza and Bryant",regina78@gmail.com,745-642-4008,Referral,New,Software,2025-05-30
Katherine,Taylor,Harrison-Smith,xevans@yahoo.com,930-853-6866x3266,Referral,Lost,Education,2024-10-11
Jose,Henderson,Black PLC,deborah84@yahoo.com,122.417.9749,Web,Lost,Healthcare,2025-01-25
Jacob,Smith,Booker Inc,campbelldavid@acosta-hall.com,7356475705,Ads,Converted,Finance,2024-08-18
Megan,Lynn,Adams Group,qwhite@clayton-martinez.com,(730)371-8376x4520,Ads,Lost,Healthcare,2025-05-03
Sharon,Meyer,Olson-Evans,boyerjeff@gmail.com,650.249.1630,Phone Inquiry,Contacted,Finance,2024-08-03
Bianca,Vazquez,"Carlson, Watson and Davis",ndavis@galvan-shea.com,5281273585,Ads,New,Software,2025-05-26
Patricia,Quinn,Norris LLC,rachel77@phillips.com,+1-557-498-2182,Phone Inquiry,Contacted,Finance,2025-01-08
Kenneth,Baker,Gibson-Parsons,nicoleharvey@yahoo.com,001-935-186-3878x29456,Ads,Converted,Healthcare,2025-03-23
Marc,Davis,"Jones, Conley and Anderson",daniellee@duncan.info,994.053.9103x71705,Web,Converted,Finance,2025-02-19
Julia,Zamora,Bauer-Brown,navarromary@gmail.com,811.386.3383,Web,Lost,Finance,2025-02-24
Colleen,White,"Grant, Reese and Miranda",bpark@gmail.com,(286)852-8975,Phone Inquiry,Converted,Education,2025-07-03
Leslie,Frey,Kirk-Gutierrez,charlene98@gmail.com,(845)776-0049x0824,Social Media,Qualified,Healthcare,2024-07-20
Kevin,Walker,Smith-Short,clintonstevens@gmail.com,(459)334-4196,Social Media,Converted,Healthcare,2025-02-24
Samantha,Navarro,"Nguyen, Olson and Freeman",benjamin96@deleon.com,(613)906-0480x58925,Social Media,Lost,Finance,2025-01-29
Heidi,Hernandez,"Dennis, Long and Griffin",ryanhartman@anderson.info,001-086-416-8622,Ads,Lost,Healthcare,2025-01-20
Anita,Freeman,"Duncan, Hoffman and Shea",charlesfrank@cohen-johnston.com,+1-665-535-5904x25979,Email,Contacted,Manufacturing,2024-09-12
Scott,Glass,Gonzalez LLC,rodriguezbrian@mcintosh.com,147-705-3833x88487,Email,Converted,Healthcare,2025-03-16
Jessica,Thomas,"Barnett, Bennett and Escobar",george43@williamson.com,645-104-6368,Ads,Contacted,Retail,2025-04-19
Cory,Stewart,"Schmidt, Lopez and Mason",williamssandra@yahoo.com,762-055-5438x40460,Phone Inquiry,New,Manufacturing,2025-02-18
Stacy,Perez,Prince-Sandoval,rmeyer@salas.org,(649)578-2329,Email,Contacted,Retail,2025-02-13
Gabriella,Harris,Parker Ltd,xforbes@douglas.com,188-125-2056x64742,Email,Qualified,Education,2025-05-16
Jacob,Anderson,Farmer PLC,caitlynhall@gmail.com,(172)897-5267x722,Web,Contacted,Finance,2024-10-01
Jeremy,Ortiz,Schaefer Group,katherinejones@camacho-burns.com,366.096.5699x988,Referral,Lost,Manufacturing,2025-03-24
Nancy,Buchanan,"Rodriguez, Bryant and Rich",cterrell@hughes.com,764-472-6490x8277,Referral,Contacted,Software,2024-08-22
Jennifer,Wilson,"Pace, Horton and Taylor",shannon27@hotmail.com,001-371-452-1117x518,Phone Inquiry,Lost,Retail,2025-04-18
Patrick,Moody,"Salazar, Moore and Pierce",rhondacunningham@huffman.com,(447)421-2309x40777,Social Media,Lost,Healthcare,2025-02-14
Lindsey,Franklin,Young-Chapman,fortiz@hotmail.com,+1-038-498-3022x050,Web,Contacted,Healthcare,2024-09-12
Melissa,Estrada,"Evans, Knapp and Williams",evanmitchell@hotmail.com,001-998-279-5014x556,Phone Inquiry,Converted,Manufacturing,2025-06-01
